artist_id,artist_name
0,A T Kanan
1,Aarshin Karande
2,Aashish Khan
3,Abbas Ali Khan
4,Abdul Halim Jaffer Khan
5,Abdul Karim Khan
6,Abdul Khaleque Khan
7,Abdul Latif Khan
8,Abdul Majid Khan
9,Abdul Wahid Khan
10,Abhijit Banerjee
11,Abhijit Datta
12,Abhijit Pohankar
13,Abhisek Lahiri
14,Abhishek Borkar
15,Abida Parveen
16,Abu Daud
17,Achapal Miya or Ghulam Hussain Khan
18,Achpal Miyan
19,Achyut Keshav Abhyankar
20,Aditya Shah
21,Adwait Joshi
22,Aishwarya Rao
23,Ajay Pohankar
24,Ajit Kadkade
25,Ajoy Chakraborty
26,Akhil Jobanputra
27,Akhtar Ali Khan and Zakir Ali Khan
28,Akhtar Hussain Khan
29,Akram Khan
30,Ali Ahmad Hussain Khan
31,Ali Akbar Khan
32,Ali Baksh Khan 'Jarnail'
33,Ali Baksh Khan Kasurwale
34,Ali Hussain khan
35,Alla Rakha
36,Alladiya Miyan
37,Alladiyan Khan
38,Allaudin Khan
39,Altaf Hussain Khan
40,Aly Sunderji
41,Amaan Ali Khan Bangash
42,Aman Ali Khan 'Amar'
43,Amanat Ali Khan
44,Amarnath
45,Amir Khan
46,Amit Arya
47,Amit Kavthekar
48,Amjad Ali Khan
49,Amol Khanapurkar
50,Anand Bhate
51,Anand Sundaram
52,Anandbuwa Limaye
53,Anant Manohar Joshi 'Antubua'
54,Aneesh Pradhan
55,Anindo Chatterjee
56,Anita Sen
57,Anjali Malkar
58,Anjanibai Malpekar
59,Annapurna Devi
60,Anol Chatterjee
61,Anoushka Shankar
62,Anupam Joshi
63,Anupam Shobhakar
64,Anupama Bhagwat
65,Anuradha Kuber
66,Anuradha Pal
67,Anwar Hussain Khan 'Rasarang'
68,Aparna Gurav
69,Apoorva Gokhale
70,Aranyakumar
71,Arashpreet Singh Rhythm
72,Arati Ankalikar Tikekar
73,Arawind Thatte
74,Archana Kanhere
75,Arijit Mahalanabis
76,Arjunsa Nakod
77,Arnab  Chattopadhyay
78,Arnab Chakrabarty
79,Arshad Ali Khan
80,Arshad Khan
81,Arun Apte
82,Arun Bhaduri
83,Arun Dravid
84,Arun Kashalkar 'Ras Das'
85,Arvind Gajendragadkar
86,Arvind Parikh
87,Asad Ali Khan
88,Asha Khadilkar
89,Asha Lohia
90,Ashesh Bandopadhyay
91,Ashiq Ali Khan
92,Ashish Ranade
93,Ashish Sankrityayan
94,Ashok Da Ranade
95,Ashwin Srinivasan
96,Ashwini Bhide
97,Ashwini Bhide Deshpande
98,Ashwini Bhide-Deshpande
99,Ashwini Gokhale
100,Atindra Sarvadikar
101,Ayaan Ali Khan
102,Ayan Sengupta
103,Aziz Khan
104,Azmat Hussain Khan 'Dilrang'
105,B R Deodhar
106,Babanrao Haldankar
107,Bade Ghulam Ali Khan
108,Bade Mohammed Khan
109,Bade Ramdas Mishra
110,Bahadur Khan
111,Bahauddin Dagar
112,Baiju Bawra
113,Bala Guruji
114,Balabhau Umdekar
115,Balakrishnabua Ichalkaranjikar
116,Balasaheb Poochwale
117,Balbir Singh
118,Baldev Raj Verma
119,Baldev Sahai
120,Baljit Singh Namdhari
121,Balwantrai Bhat 'Bhaaw Rang'
122,Bande Ali Khan
123,Banne Khan
124,Barkatullah Khan
125,Basavraj Rajguru
126,Begum Akhtar
127,Bhagvati Sahai
128,Bhai Baldeep Singh
129,Bhairov Sahai
130,Bhaiyya Ganpatrao 'Sughar Piya'
131,Bhalchandra G. Tilak
132,Bharat Bhushan Goswami
133,Bharati Vaishampayan
134,Bhaskar Chandavarkar
135,Bhaskarbua Bakhle
136,Bhavik Mankad
137,Bhawarlal Shama
138,Bhimsen Joshi
139,Bhishmadev Vedi
140,Bholanath Bhatt
141,Bholanath Prasanna
142,Bhupat Khan 'Manrang'
143,Bhurji Khan
144,Bhuvanesh Komkali
145,Bimal Mukherjee
146,Bindadin Maharaj
147,Biren Banerjee
148,Bismillah Khan
149,Biswajit Roy Chaudhary
150,Biswanath Bose
151,Bob Becker
152,Brajeshwar Mukherjee
153,Brij Bhushan Kaabra
154,Brij Narayan
155,Brilliant Sitar
156,Buddhadev Das Gupta
157,Buddhadev Vidyalankar
158,Budhaditya Mukherjee
159,Bundu Khan
160,Chaitanya Kunte
161,Chajju Khan
162,Chand Khan
163,Chandrakant Limaye
164,Chandrika Kamath
165,Chetna Banawat - Pathak
166,Chhajju Khan
167,Chidanand Nagarkar 'Chita Anand'
168,Chimanlaal
169,Chintaman Raghunath Vyas 'Guni Jaan'
170,Chintamani Mishra
171,D V Jadhav
172,D V Kane
173,D V Paluskar
174,D. R. Nimbargi
175,Dagur Bani
176,Dattatreya Velankar
177,Daud Khan Sadozai
178,David Elkabir
179,Dayam Khan Nauhar 'Sarasrang'
180,Debajit Chakraborty
181,Debajyoti Basu
182,Debashish Bhattacharya
183,Debasmita Bhattacharya
184,Debjit Pandit
185,Debojyoti Gupta
186,Deborshee Bhattacharya
187,Deepak Maharaj
188,Deepak Sahai
189,Devaki Pandit
190,Devashish Dey
191,Dhananjay Daithankar
192,Dhananjay Hegde
193,Dhondutai Kulkarni
194,Dhruba Ghosh
195,Dhruv Bedi
196,Diego Hauptman
197,Dilawar Hussain Khan
198,Dilshad Khan
199,Dinanath Mangeshkar
200,Dinkar Kaikini 'Din Rang'
201,Dipak Chowdhury
202,Dr Prabha Atre
203,Dr. Satya Bhargava
204,Durga Sahai
205,Ebadul Huq shaikat
206,Eeshar Singh
207,Ehsaan Ahmed Khan
208,Eknath Kulkarni
209,Eknathji Thakurdas
210,Enayat Khan
211,Faiyaz Khan 'Prem Piya'
212,Fateh Ali Khan
213,Fateh Ali Khan 'Karnail'
214,Fida Ali Khan
215,Firoz Dastur
216,Firoz Khan 'Adarang'
217,Gagandeep Hothi
218,Gajanan Anant Joshi
219,Ganapati Bhat Hasanagi
