meta_id,artist_id,raag_id
0,13,102
1,13,107
2,13,74
3,13,57
4,13,27
5,13,107
6,14,15
7,14,85
8,25,107
9,25,49
10,25,9
11,25,108
12,25,58
13,25,23
14,25,109
15,25,53
16,25,65
17,25,74
18,25,0
19,25,85
20,25,114
21,25,77
22,25,97
23,25,97
24,25,59
25,25,91
26,25,82
27,25,4
28,60,79
29,60,0
30,64,102
31,64,113
32,64,101
33,64,110
34,72,4
35,72,48
36,72,4
37,80,71
38,80,15
39,98,47
40,98,61
41,102,82
42,102,39
43,111,57
44,111,3
45,111|502,117
46,111|502,117
47,128,45
48,152,103
49,152,41
50,152,9
51,152,94
52,152,49
53,152,17
54,152,15
55,158,29
56,158,65
57,158,41
58,182,109
59,182,57
60,182,57
61,183,57
62,183,17
63,183,15
64,183,4
65,186,100
66,186,107
67,186,22
68,186,81
69,195,17
70,504,70
71,504,110
72,206,17
73,263,90
74,264,5
75,287,65
76,287,74
77,287,65
78,287,82
79,287,15
80,287,114
81,290,29
82,290,29
83,301,17
84,303,116
85,309,65
86,316,37
87,316,68
88,317,113
89,317,95
90,322,91
91,322,107
92,329,15
93,329,48
94,329,12
95,329,71
96,329,17
97,329,109
98,329,0
99,329,17
100,330,16
101,330,69
102,330,62
103,330,95
104,330,49
105,330,15
106,330,81
107,330,107
108,330,66
109,330,78
110,330,23
111,330,65
112,330,119
113,330,30
114,332,4
115,333,40
116,333,36
117,336,38
118,336,25
119,355,82
120,355,35
121,358,17
122,358,89
123,358,48
124,358,17
125,358,17
126,358,48
127,358,49
128,358|673,116
129,398,58
130,398,37
131,398,17
132,398,39
133,398,52
134,398,99
135,400,7
136,400,101
137,400,101
138,400,107
139,400,21
140,400,15
141,400,82
142,402,26
143,406,82
144,408,15
145,413,47
146,414,111
147,414,60
148,414,46
149,414,13
150,414,67
151,414,86
152,414,44
153,414,115
154,414,50
155,414,96
156,414,112
157,414,28
158,414,63
159,418,16
160,418,81
161,418,112
162,418,81
163,432|603,17
164,468,17
165,468,107
166,468,80
167,468,15
168,470,15
169,470,4
170,472,2
171,475,29
172,477,80
173,483,34
174,483,119
175,483,21
176,483,18
177,483,78
178,483,22
179,483,107
180,483,8
181,483,4
182,483,82
183,483,114
184,483,17
185,483,15
186,483,37
187,483,65
188,483,51
189,483,90
190,483,101
191,500,95
192,500,75
193,500,42
194,500,42
195,502,49
196,502,76
197,502,63
198,502,93
199,503|14,43
200,504,110
201,516,71
202,517,90
203,517,90
204,518,119
205,518,49
206,518,71
207,518,49
208,519|513,17
209,519|513,1
210,527,81
211,527,106
212,527,107
213,527,65
214,527|673,62
215,527|673,85
216,548|612,79
217,553,71
218,553,15
219,556,52
220,557,32
221,557,32
222,559,49
223,559,49
224,560,119
225,572|617,108
226,572|617,65
227,565,71
228,565,7
229,572|617,82
230,572|617,17
231,593,19
232,593,89
233,593,20
234,594,111
235,594,94
236,594,94
237,594,94
238,594,94
239,594,57
240,594,81
241,594,81
242,594,84
243,598,118
244,598,17
245,598,73
246,598,49
247,598,15
248,598,14
249,598,78
250,604,49
251,611,91
252,615,41
253,615,18
254,615,88
255,615,78
256,615,92
257,615,111
258,615,58
259,615,81
260,633|508,95
261,633|508,95
262,645,55
263,645,74
264,645,15
265,645,72
266,645,24
267,645,81
268,645,17
269,645,7
270,645,100
271,645,31
272,653,91
273,653,119
274,653,119
275,656,29
276,677,87
277,680,49
278,680,49
279,682,114
280,682,54
281,682,64
282,682,14
283,682,31
284,692,57
285,692,104
286,693,17
287,158,83
288,706,30
289,706,38
290,706,33
291,706,57
292,714,58
293,740,6
294,750,48
295,753,113
296,753,29
297,753,62
298,760,17
299,760,17
300,760,17
301,761,105
302,761,8
303,761,111
304,761,29
305,761,15
306,779,90
307,779,33
308,779,82
309,779,82
310,779,90
311,792,109
312,812,56
