Raga,Duration,Artist,Instrument,Laya,Taal,Accompanists,Instruments,Form,Name
Sahana,474,Abhisek Lahiri,Sarod,Madhya,Jhaptaal,Sanju Sahai,Tabla,Khyal,RaagSahanaAbhisekLahiriMusicofIndia
Shree,713,Abhisek Lahiri,Sarod,Drut,Teentaal,Sukhvinder Singh 'Pinky',Tabla,Khyal,AbhisekLahiriSukhvinderSinghPinkyRaagShreeSarodTabla
Malkauns,247,Abhisek Lahiri,Sarod,Drut,,,,Jor|Jhala,SpellbindingRaagMalkaunsAbhisekLahiriMusicofIndia
Kaunsi Kanada,59,Abhisek Lahiri,Sarod,Drut,,,,Khyal,RaagKaunsiKanadaAbhisekLahiriMusicofIndia
Chayanat,598,Abhisek Lahiri,Sarod,Madhya,Roopak,Sukhvinder Singh 'Pinky',Tabla,Khyal,AbhisekLahiriSukhvinderSinghPinkyRaagChayanatSarodTabla
Shree,314,Abhisek Lahiri,Sarod,Drut,Teentaal,Sukhwinder Singh,Tabla,Jor|Jhala,TranceMusicinRaagShreeAbhisekLahiriSarodMusicofIndia
Bhairavi,512,Abhishek Borkar,Sarod,Vilambit,,,,Khyal,RaagBhairaviAbhishekBorkarSunriseDarbarVR
Nat Bhairav,1004,Abhishek Borkar,Sarod,Vilambit|Drut,,,,Alap,RaagNatBhairavAbhishekBorkarMorningDarbarVR
Shree,2950817,Ajoy Chakraborty,Vocal,Madhya|Vilambit,Ektaal|Teentaal,V. G. Jog|Jyoti Goho|Pandit Chandrabhan,Violin|Harmonium|Tabla,Khyal,AjoyChakrabartyRagaShreeKhayal
Jog,3147329,Ajoy Chakraborty,Vocal,Madhya|Vilambit,Ektaal|Jhaptaal|Teentaal,,,Khyal,AjoyChakrabartyRaagJog
Bairagi,899469,Ajoy Chakraborty,Vocal,Vilambit,Ektaal|Ektaal,Paromita Mukherjee|Indranil Bhaduri,Harmonium|Tabla,Khyal,AjoyChakrabartyBairagi
Shuddha Kalyan,903653,Ajoy Chakraborty,Vocal,Vilambit,Ektaal|Teentaal,Paromita Mukherjee|Indranil Bhaduri,Harmonium|Tabla,Khyal,AjoyChakrabartySudhKalyan
Kedar,2727008,Ajoy Chakraborty,Vocal,Madhya|Vilambit,Ektaal|Jhaptaal|Jhoomra|Teentaal,,,Khyal,AjoyChakrabartyRaagKedar
Bilaskhani Todi,854500,Ajoy Chakraborty,Vocal,Vilambit,Teentaal|Teentaal,Paromita Mukherjee|Indranil Bhaduri,Harmonium|Tabla,Khyal,AjoyChakrabartyBilaskhaniTodi
Shuddha Sarang,805479,Ajoy Chakraborty,Vocal,Vilambit,Ektaal|Teentaal,Paromita Mukherjee|Indranil Bhaduri,Harmonium|Tabla,Khyal,AjoyChakrabartySudhSarang
Kalavati,343916,Ajoy Chakraborty,Vocal,Madhya,Roopak|Teentaal,Paromita Mukherjee|Indranil Bhaduri,Harmonium|Tabla,Khyal,AjoyChakrabartyKalavati
Lalit,3617018,Ajoy Chakraborty,Vocal,Madhya|Vilambit,Ektaal|Teentaal,Samar Saha|Sanjay Chakrabarty,Tabla|Harmonium,Khyal,AjoyChakrabartyRagaLalitKhayal
Malkauns,333144,Ajoy Chakraborty,Vocal,Vilambit,Ektaal|Teentaal,Paromita Mukherjee|Indranil Bhaduri,Harmonium|Tabla,Tarana|Khyal,AjoyChakrabartyMalkauns
Abhogi,2569084,Ajoy Chakraborty,Vocal,Madhya,Jhaptaal|Teentaal|Teentaal,,,Khyal,AjoyChakrabartyRaagAbhogi
Nat Bhairav,638360,Ajoy Chakraborty,Vocal,Vilambit,Ektaal|Jhoomra|Teentaal,Paromita Mukherjee|Indranil Bhaduri,Harmonium|Tabla,Tarana|Khyal,AjoyChakrabartyNatBhairon
Todi,541467,Ajoy Chakraborty,Vocal,Vilambit,Jhoomra|Teentaal,Paromita Mukherjee|Indranil Bhaduri,Harmonium|Tabla,Khyal,AjoyChakrabartyTodi
Maru Bihag,961956,Ajoy Chakraborty,Vocal,Vilambit,Ektaal|Teentaal,Paromita Mukherjee|Indranil Bhaduri,Harmonium|Tabla,Khyal,AjoyChakrabartyMaruBihag
Rageshree,2110797,Ajoy Chakraborty,Vocal,Madhya|Vilambit,Ektaal|Teentaal,,,Khyal,AjoyChakrabartyRaagRageshri
Rageshree,492315,Ajoy Chakraborty,Vocal,Vilambit,Jhoomra|Teentaal,Paromita Mukherjee|Indranil Bhaduri,Harmonium|Tabla,Khyal,AjoyChakrabartyRaageshree
Khamaj,1165572,Ajoy Chakraborty,Vocal,Madhya,Teentaal,,,Khyal,AjoyChakrabartyRaagKhamaj
Piloo,765257,Ajoy Chakraborty,Vocal,,Jatt,V. G. Jog|Jyoti Goho|Pandit Chandrabhan,Violin|Harmonium|Tabla,Thumri,AjoyChakrabartyThumriinPiloo
Multani,665839,Ajoy Chakraborty,Vocal,Vilambit,Teentaal|Teentaal,Paromita Mukherjee|Indranil Bhaduri,Harmonium|Tabla,Khyal,AjoyChakrabartyMultani
Ahir Bhairav,589443,Ajoy Chakraborty,Vocal,Madhya,Jhaptaal|Teentaal,Paromita Mukherjee|Indranil Bhaduri,Harmonium|Tabla,Khyal,AjoyChakrabartyAahirBhairon
Megh,1766922,Anol Chatterjee,Vocal,Vilambit,Ektaal|Ektaal,Jyotirmoy Banerjee|Chiranjit Mukherjee,Harmonium|Tabla,Khyal,AnolChatterjeeRaagMegh
Abhogi,1882697,Anol Chatterjee,Vocal,Vilambit,Ektaal|Teentaal,Jyotirmoy Banerjee|Chiranjit Mukherjee,Harmonium|Tabla,Khyal,AnolChatterjeeRaagAbhogi
Sahana,355,Anupama Bhagwat,Sitar,Drut,,,,Jhala,DivineSitarRoyalRaagShahanaAnupamaBhagwatMusicofIndia
Tilak Kamod,447,Anupama Bhagwat,Sitar,Drut,,,,,MajesticRaagTilakKamodAnupamaBhagwatMusicofIndia
Ramkali,776,Anupama Bhagwat,Sitar,Vilambit,,,,Alap,DevotionalRaagRamkaliAnupamaBhagwatEarlyMorningDarbarVR
Shyam Kalyan,290,Anupama Bhagwat,Sitar,Vilambit|Drut,,,,Jor/Jhala,RaagShyamKalyanPartAnupamaBhagwatMusicofIndia
Ahir Bhairav,580,Arati Ankalikar Tikekar,Vocal,Drut,Teentaal,Anubrata Chatterjee|Chinmay Kolhatkar,Tabla|Harmonium,Khyal,RaagAhirBhairavAratiAnkalikarTikekarKhayalMusicofIndia
Jaunpuri,627,Arati Ankalikar Tikekar,Vocal,Madhya,Roopak,Anubrata Chatterjee|Chinmay Kolhatkar|Omkar Dalvi,Tabla|Harmonium|Pakhawaj,Khyal,AratiAnkalikarTikekarRaagJaunpuriKhayalvocalMusicofIndia
Ahir Bhairav,1011,Arati Ankalikar Tikekar,Vocal,Vilambit,Teentaal,Anubrata Chatterjee|Chinmay Kolhatkar,Tabla|Harmonium,Khyal,AratiAnkalikarTikekarRaagAhirBhairav
Madhuvanti,58,Arshad Khan,Esraj,Drut,Teentaal,Shahbaz Khan,Tabla,Khyal,RaagMadhuvantiArshadKhanMusicofIndia
Bhairavi,211,Arshad Khan,Esraj,Vilambit,,,,Alap,RareIndianInstrumenttheEsrajRaagBhairaviArshadKhanMusicofIndia
Jansammohini,515,Ashwini Bhide-Deshpande,Vocal,Madhya,Addha,Vinod Lele|Vinay Mishra,Tabla|Harmonium,Khyal,SalutationstoGaneshaRaagJansammohiniAshwiniBhideDeshpandeDarbarFestival
Khem Kalyan,393,Ashwini Bhide-Deshpande,Vocal,Vilambit,Addha,Vinod Lele|Vinay Mishra,Tabla|Harmonium,Khyal,SoaringKhayalRareRaagKhemKalyanAshwiniBhideDeshpandeJaipurAtrauliMusicofIndia
Multani,699,Ayan Sengupta,Sitar,Vilambit,,,,Jor,MeditativeRaagMultaniAyanSenguptaDarbarVR
Gujri Todi,636,Ayan Sengupta,Sitar,Vilambit|Drut,,,,Alap|Jor,RaagGujriTodiAyanSenguptaMorningDarbarVR
Kaunsi Kanada,434,Bahauddin Dagar,Rudra Veena,Drut,,,,Dhrupad,TranceDhrupadUstadBahauddinDagarRaagKausiKanadaMusicofIndia
Adi Basant,713,Bahauddin Dagar,Rudra Veena,Vilambit,,,,Dhrupad,RaagAdiBasantUstadBahauddinDagarDarbarVR
Vardhani,532,Bahauddin Dagar|Pelva Naik,Rudra Veena|Vocal,Vilambit,Choutaal,Surdarshan Chana,Jori,Dhrupad,SublimeJugalbandiDhrupadUstadBahauddinDagarPelvaNaikRaagVardhaniMusicofIndia
Vardhani,597,Bahauddin Dagar|Pelva Naik,Rudra Veena|Vocal,Vilambit,,,,Dhrupad,MastersofDagarvaniUstadBahauddinDagarPelvaNaikRaagVardhaniMusicofIndia
Jaijaiwanti,550,Bhai Baldeep Singh,Vocal,Madhya,,Ravi Shankar Upadhyay|Kirpal Singh Panesar,Pakhawaj|Pakhawaj,Shahbad,RaamSimaarEhaTeroKaajBhaiBaldeepSinghRaagJaijaiwantiGurbani
Saraswati,790000,Brajeshwar Mukherjee,Vocal,Madhya,Teentaal,,,Khyal,BrajeshwarMukherjeeRaagSaraswati
Hameer,901146,Brajeshwar Mukherjee,Vocal,Madhya,Ektaal|Jhaptaal,Gourab Chatterjee|Sandip Ghosh,Tabla|Harmonium,Khyal,BrajeshwarMukherjeeRaagHameer
Bairagi,2513320,Brajeshwar Mukherjee,Vocal,Vilambit,Ektaal|Teentaal,,,Khyal,BrajeshwarMukherjeeRaagBairagi
Puriya,1849548,Brajeshwar Mukherjee,Vocal,,,Sandip Ghosh|Brajeshwar Mukherjee,Harmonium|Tabla,,BrajeshwarMukherjeeRaagPuriya
Jog,2013492,Brajeshwar Mukherjee,Vocal,Vilambit,Ektaal|Teentaal,Gourab Chatterjee|Sandip Ghosh,Harmonium|Tabla,Khyal,BrajeshwarMukherjeeRaagJog
Bhimpalasi,872988,Brajeshwar Mukherjee,Vocal,,,Gourab Chatterjee,Harmonium,,BrajeshwarMukherjeeRaagBhimpalasi
